,rank,title,link,image_url,describe,heat
10,11,龙玉涛表情包攻击性有多强,https://tieba.baidu.com/hottopic/browse/hottopic?topic_id=8555133&topic_name=%E9%BE%99%E7%8E%89%E6%B6%9B%E8%A1%A8%E6%83%85%E5%8C%85%E6%94%BB%E5%87%BB%E6%80%A7%E6%9C%89%E5%A4%9A%E5%BC%BA,https://tiebapic.baidu.com/forum/whfpf%3D84%2C88%2C40%3Bq%3D90/sign=f450a8045ed5ad6eaaac37aae7f601ef/dbb44aed2e738bd4955721f1e48b87d6267ff9f8.jpg?tbpicau=2022-10-17-05_07f9bdb936f7df0b75faecd69aefc6ce,龙图表情包是本名龙玉涛，是一名coser，喜欢男扮女装，但是他惹怒了某圈的一位大佬，一直拿他的图片做各种表情包，后来龙玉涛道歉虽然被原谅，但...,27.8W实时讨论
11,12,《蔑视》IGN评分7分,https://tieba.baidu.com/hottopic/browse/hottopic?topic_id=8560693&topic_name=%E3%80%8A%E8%94%91%E8%A7%86%E3%80%8BIGN%E8%AF%84%E5%88%867%E5%88%86,https://tiebapic.baidu.com/forum/whfpf%3D84%2C88%2C40%3Bq%3D90/sign=8400e31d6b738bd4c474e171c7b6bfe2/0d338744ebf81a4c0fbb7009922a6059242da661.jpg?tbpicau=2022-10-17-05_67a664bee50143747e90bf38ca6a9532,恐怖解密游戏《蔑视》现已正式发售并加入XGP，媒体评也也于今日解禁。本作IGN评分为7分。,19.6W实时讨论
12,13,固态硬盘评测,https://tieba.baidu.com/hottopic/browse/hottopic?topic_id=8558128&topic_name=%E5%9B%BA%E6%80%81%E7%A1%AC%E7%9B%98%E8%AF%84%E6%B5%8B,https://tiebapic.baidu.com/forum/whfpf%3D84%2C88%2C40%3Bq%3D90/sign=2eccb62fecec8a13144f04a0913ea9bb/5243fbf2b2119313c99e6d7020380cd790238d15.jpg?tbpicau=2022-10-17-05_99f4f33946360d77eb69926c9d5e75a3,一起围观固态硬盘评测，帮助大家挑选到性价比最高的固态硬盘！,16.4W实时讨论
13,14,剑网3 捏脸,https://tieba.baidu.com/hottopic/browse/hottopic?topic_id=8560692&topic_name=%E5%89%91%E7%BD%913%20%E6%8D%8F%E8%84%B8,https://tiebapic.baidu.com/forum/whfpf%3D84%2C88%2C40%3Bq%3D90/sign=da90949d10fbb2fb347e0b5229771890/5882b2b7d0a20cf4b2d3621f33094b36adaf99ab.jpg?tbpicau=2022-10-17-05_80de322330d248d6d4eece726c712d9b,“建号一分钟，捏脸半小时”，随着“捏脸”系统成为网游的必备产物，这一行为已经成为当今玩家建号时的常态。一起围观剑网三玩家捏脸有多好看吧。,12.3W实时讨论
14,15,NovelAI这类AI绘画工具应该被抵制吗,https://tieba.baidu.com/hottopic/browse/hottopic?topic_id=8553464&topic_name=NovelAI%E8%BF%99%E7%B1%BBAI%E7%BB%98%E7%94%BB%E5%B7%A5%E5%85%B7%E5%BA%94%E8%AF%A5%E8%A2%AB%E6%8A%B5%E5%88%B6%E5%90%97,https://tiebapic.baidu.com/forum/whfpf%3D84%2C88%2C40%3Bq%3D90/sign=dc8d59f3d745d688a357e1e4c2ff452a/728da9773912b31baf215de9c318367adbb4e1a5.jpg?tbpicau=2022-10-17-05_11e99c51eac9b454166d9ec84ea35e5c,近日，NovelAI的代码模型被泄露，越来越多的人开始尝试这一绘画工具。网友发现它竟然能将现实图片完美转化为二次元图片，甚至能对草稿进行优化...,11.1W实时讨论
15,16,披哥四公喜爱度苏有朋再夺第一,https://tieba.baidu.com/hottopic/browse/hottopic?topic_id=8556245&topic_name=%E6%8A%AB%E5%93%A5%E5%9B%9B%E5%85%AC%E5%96%9C%E7%88%B1%E5%BA%A6%E8%8B%8F%E6%9C%89%E6%9C%8B%E5%86%8D%E5%A4%BA%E7%AC%AC%E4%B8%80,https://tiebapic.baidu.com/forum/whfpf%3D84%2C88%2C40%3Bq%3D90/sign=eca9a5bf3df0f736d8ab1f416c688b2d/a1ec08fa513d26971e239b9d10fbb2fb4216d87a.jpg?tbpicau=2022-10-17-05_016af64fbf9572fe8852929e0e010f4b,苏有朋凭借舞台《半兽人》在披荆斩棘四公个人喜爱度再拿第一。恭喜苏有朋。,8.9W实时讨论
16,17,LOL新英雄奎桑提预告公布,https://tieba.baidu.com/hottopic/browse/hottopic?topic_id=8544739&topic_name=LOL%E6%96%B0%E8%8B%B1%E9%9B%84%E5%A5%8E%E6%A1%91%E6%8F%90%E9%A2%84%E5%91%8A%E5%85%AC%E5%B8%83,https://tiebapic.baidu.com/forum/whfpf%3D84%2C88%2C40%3Bq%3D90/sign=e41b68f3d48fa0ec7f92374d40aa61da/cb8065380cd7912311163eb4e8345982b3b78078.jpg?tbpicau=2022-10-17-05_899fc4b9853fb0f2bd91d1eb88e1fbea,《英雄联盟》官方公布了新英雄奎桑提的预告视频。据介绍，奎桑提来自于纳祖芒，是一名猎手。目前，官方暂未公布新英雄的定位、技能和上线时间。,7.8W实时讨论
17,18,《三角战略》Steam特别好评,https://tieba.baidu.com/hottopic/browse/hottopic?topic_id=8560694&topic_name=%E3%80%8A%E4%B8%89%E8%A7%92%E6%88%98%E7%95%A5%E3%80%8BSteam%E7%89%B9%E5%88%AB%E5%A5%BD%E8%AF%84,https://tiebapic.baidu.com/forum/whfpf%3D84%2C88%2C40%3Bq%3D90/sign=6009c190493387449c907c3c3732e1cd/2e2eb9389b504fc2434f2fc5a0dde71191ef6dda.jpg?tbpicau=2022-10-17-05_0d47796319afc9841d8245b336f8ae6c,SE回合制战术RPG游戏《三角战略》已在Steam商店发售，售价379元。截至14日下午，本作获特别好评，好评率为90%。,6.4W实时讨论
18,19,Faker超越Uzi登顶世界赛击杀榜,https://tieba.baidu.com/hottopic/browse/hottopic?topic_id=8554556&topic_name=Faker%E8%B6%85%E8%B6%8AUzi%E7%99%BB%E9%A1%B6%E4%B8%96%E7%95%8C%E8%B5%9B%E5%87%BB%E6%9D%80%E6%A6%9C,https://tiebapic.baidu.com/forum/whfpf%3D84%2C88%2C40%3Bq%3D90/sign=a3f50d23b81f4134e062563e4322adfe/ac4bd11373f082025f4401ff0efbfbedaa641b1f.jpg?tbpicau=2022-10-17-05_7901303cb3a56e6e4e9540bb11c8b0f0,T1中单选手Faker在本次S12世界赛达成了击杀王成就，拿下了351的总击杀，打破LPL选手Uzi创造的350次击杀纪录。,5.9W实时讨论
19,20,《崩坏3》爱酱建模遭吐槽,https://tieba.baidu.com/hottopic/browse/hottopic?topic_id=8552555&topic_name=%E3%80%8A%E5%B4%A9%E5%9D%8F3%E3%80%8B%E7%88%B1%E9%85%B1%E5%BB%BA%E6%A8%A1%E9%81%AD%E5%90%90%E6%A7%BD,https://tiebapic.baidu.com/forum/whfpf%3D84%2C88%2C40%3Bq%3D90/sign=8204d9ee971b0ef46cbdcb1ebbf969ee/8718367adab44aed08b52f24f61c8701a08bfb73.jpg?tbpicau=2022-10-17-05_c2239d5ccf1175827dd531a7a2d10f60,有网友曝光了《崩坏3》爱酱的新建模图，据爆料，该形象将以“SP女武神”的形式在游戏中实装。消息一出引发大量玩家不满，吐槽爱酱画风与游戏格格不...,4.9W实时讨论
